0	0
10	4.43730521202
20	6.59453701972
30	7.3618440628
40	9.41857075691
50	12.0606029034
60	14.1248533726
70	15.0783720016
80	15.9347453117
90	16.2015295029
100	17.5225696564
110	17.5655105114
120	18.2572116852
130	19.6425993443
140	20.7279083729
150	21.7193198204
160	23.437063694
170	23.4438621998
180	26.8853850365
190	29.6563954353
200	30.132332325
210	31.0011069774
220	34.0772514343
230	35.1357154846
240	36.6050488949
250	37.1473300457
260	38.5410928726
270	39.9186303615
280	40.1685638428
290	42.1137535572
300	43.6231098175
310	48.0947952271
320	51.0024795532
330	55.2083432674
340	55.161356926
