0	0
10	6.67576551437
20	9.15623021126
30	11.6912088394
40	14.5247762203
50	19.8241155147
60	22.8310966492
70	24.0805208683
80	25.4896638393
90	27.1052470207
100	26.9054410458
110	28.3577020168
120	30.4284024238
130	33.080300808
140	34.3208656311
150	37.2323880195
160	38.0416827202
170	39.2782826424
180	43.6375329494
190	49.7315380573
200	49.5812442303
210	53.5302097798
220	57.29468894
230	60.9052269459
240	61.3991773129
250	64.2226130962
260	65.265714407
270	67.878118515
280	69.6393101215
290	72.3718354702
300	75.3704321384
310	80.1145527363
320	86.3012208939
330	90.8894431591
340	92.8383479119
