0	0
100	44.9112353325
10	12.0249688625
110	47.570940733
120	47.3983860016
130	51.2051947117
140	54.4088983536
150	60.068621397
160	59.8980622291
170	64.6382670403
180	73.1240007877
190	75.7453334331
200	82.0421259403
20	15.5608317852
210	82.7499170303
220	92.0442020893
230	91.5294530392
240	96.0305030346
250	96.2554039955
260	101.993726015
270	100.911864996
280	108.040619612
290	115.753284454
300	119.02943325
30	19.328125
310	126.180320501
320	133.117717981
330	140.105326414
340	135.621767998
40	22.7783379555
50	29.8046448231
60	35.106000185
70	39.2932202816
80	39.2121722698
90	39.6031954288
