0	0
10	2.51954197884
20	4.24996137619
30	5.08094406128
40	6.97915887833
50	8.93983507156
60	10.3403427601
70	11.6889491081
80	12.0644929409
90	12.2634270191
100	12.8394470215
110	13.6945776939
120	14.1209418774
130	15.6259083748
140	15.9208917618
150	16.9403791428
160	17.7981152534
170	18.3940463066
180	20.9304921627
190	22.1043994427
200	22.6908037662
210	24.1408860683
220	26.5198400021
230	27.8833725452
240	28.8468103409
250	29.5712468624
260	30.6071939468
270	31.6651821136
280	32.6309170723
290	33.7733528614
300	34.9908807278
310	36.5540554523
320	40.0545887947
330	42.106981039
340	43.205217123
